measurement_id,city_id,city_name,longitude,latitude,weather_id,weather_main,weather_description,weather_icon,base,temperature,feels_like,temp_min,temp_max,pressure,humidity,visibility,wind_speed,wind_deg,clouds_all,dt,sys_type,sys_id,sys_country,sys_sunrise,sys_sunset,timezone,cod
1,3173435,Milan,9.1895,45.4643,800,Clear,clear sky,01d,stations,18.48,18.03,16.86,20.47,1020,63,10000,3.09,250,0,2024-03-21 11:09:30,2,2012644,IT,2024-03-21 05:23:57,2024-03-21 17:36:39,3600,200
2,3181927,Bologna,11.4333,44.4667,800,Clear,clear sky,01d,stations,18.68,18.12,16.28,19.8,1021,58,10000,2.06,310,0,2024-03-21 10:59:58,2,2004497,IT,2024-03-21 05:15:07,2024-03-21 17:27:32,3600,200
3,2525471,Provincia di Cagliari,9.0912,39.245,801,Clouds,few clouds,02d,stations,18.54,18.12,17.71,19.41,1024,64,10000,4.63,170,20,2024-03-21 11:08:24,1,6720,IT,2024-03-21 05:25:06,2024-03-21 17:36:17,3600,200
4,3173435,Milan,9.1895,45.4643,800,Clear,clear sky,01d,stations,18.48,18.03,16.86,20.47,1020,63,10000,3.09,250,0,2024-03-21 11:10:02,2,2012644,IT,2024-03-21 05:23:57,2024-03-21 17:36:39,3600,200
5,3181927,Bologna,11.4333,44.4667,800,Clear,clear sky,01d,stations,18.95,18.42,17.44,20.36,1021,58,10000,2.06,320,0,2024-03-21 11:03:50,2,2004497,IT,2024-03-21 05:15:07,2024-03-21 17:27:32,3600,200
6,2525471,Provincia di Cagliari,9.0912,39.245,801,Clouds,few clouds,02d,stations,18.54,18.12,17.71,19.41,1024,64,10000,4.63,170,20,2024-03-21 11:08:24,1,6720,IT,2024-03-21 05:25:06,2024-03-21 17:36:17,3600,200
7,3173435,Milan,9.1895,45.4643,801,Clouds,few clouds,02d,stations,19.51,19.03,18.14,21.91,1019,58,10000,3.6,240,20,2024-03-21 13:31:47,2,2012644,IT,2024-03-21 05:23:57,2024-03-21 17:36:39,3600,200
8,3181927,Bologna,11.4333,44.4667,800,Clear,clear sky,01d,stations,20.28,19.77,19.1,22.02,1019,54,10000,2.57,330,0,2024-03-21 13:37:56,2,2004497,IT,2024-03-21 05:15:07,2024-03-21 17:27:32,3600,200
9,2525471,Provincia di Cagliari,9.0912,39.245,801,Clouds,few clouds,02d,stations,18.12,17.74,17.71,20.05,1023,67,10000,6.69,150,20,2024-03-21 13:39:53,1,6720,IT,2024-03-21 05:25:06,2024-03-21 17:36:17,3600,200
10,3173435,Milan,9.1895,45.4643,801,Clouds,few clouds,02d,stations,19.51,19.03,18.14,21.91,1019,58,10000,3.6,240,20,2024-03-21 13:31:47,2,2012644,IT,2024-03-21 05:23:57,2024-03-21 17:36:39,3600,200
11,3181927,Bologna,11.4333,44.4667,800,Clear,clear sky,01d,stations,20.28,19.77,19.1,22.02,1019,54,10000,2.57,330,0,2024-03-21 13:37:56,2,2004497,IT,2024-03-21 05:15:07,2024-03-21 17:27:32,3600,200
12,2525471,Provincia di Cagliari,9.0912,39.245,801,Clouds,few clouds,02d,stations,18.12,17.74,17.71,20.05,1023,67,10000,6.69,150,20,2024-03-21 13:39:53,1,6720,IT,2024-03-21 05:25:06,2024-03-21 17:36:17,3600,200
13,727011,Sofia,23.3242,42.6975,801,Clouds,few clouds,02d,stations,13.83,12.0,13.83,15.02,1016,28,10000,6.17,270,20,2024-03-21 13:39:07,1,6366,BG,2024-03-21 04:27:50,2024-03-21 16:39:42,7200,200
14,728193,Plovdiv,24.75,42.15,803,Clouds,broken clouds,04d,stations,17.04,15.4,17.04,17.04,1016,23,10000,6.69,280,75,2024-03-21 13:30:13,1,6363,BG,2024-03-21 04:22:13,2024-03-21 16:33:56,7200,200
15,3173435,Milan,9.1895,45.4643,800,Clear,clear sky,01n,stations,18.86,18.37,17.59,19.99,1017,60,10000,4.63,270,0,2024-03-21 17:41:58,2,2012644,IT,2024-03-21 05:23:57,2024-03-21 17:36:39,3600,200
16,3181927,Bologna,11.4333,44.4667,800,Clear,clear sky,01n,stations,17.84,17.3,15.02,18.67,1017,62,10000,2.06,30,0,2024-03-21 17:42:45,2,2044440,IT,2024-03-21 05:15:07,2024-03-21 17:27:32,3600,200
17,2525471,Provincia di Cagliari,9.0912,39.245,800,Clear,clear sky,01n,stations,16.17,15.67,15.08,17.75,1021,70,10000,4.12,130,0,2024-03-21 17:48:45,1,6720,IT,2024-03-21 05:25:06,2024-03-21 17:36:17,3600,200
18,727011,Sofia,23.3242,42.6975,802,Clouds,scattered clouds,03n,stations,10.83,8.8,10.83,10.83,1016,32,10000,3.09,280,28,2024-03-21 17:45:52,1,6366,BG,2024-03-21 04:27:50,2024-03-21 16:39:42,7200,200
19,728193,Plovdiv,24.75,42.15,803,Clouds,broken clouds,04n,stations,12.04,10.27,12.04,13.17,1016,37,10000,6.17,360,75,2024-03-21 17:44:11,1,6363,BG,2024-03-21 04:22:13,2024-03-21 16:33:56,7200,200
20,3173435,Milan,9.1895,45.4643,800,Clear,clear sky,01n,stations,18.86,18.37,17.59,19.99,1017,60,10000,4.63,270,0,2024-03-21 17:42:14,2,2012644,IT,2024-03-21 05:23:57,2024-03-21 17:36:39,3600,200
21,3181927,Bologna,11.4333,44.4667,800,Clear,clear sky,01n,stations,17.5,16.92,15.02,17.85,1017,62,10000,2.06,30,0,2024-03-21 17:46:45,2,2044440,IT,2024-03-21 05:15:07,2024-03-21 17:27:32,3600,200
22,2525471,Provincia di Cagliari,9.0912,39.245,800,Clear,clear sky,01n,stations,15.97,15.61,15.88,17.75,1022,76,10000,3.6,160,0,2024-03-21 17:55:47,1,6720,IT,2024-03-21 05:25:06,2024-03-21 17:36:17,3600,200
23,727011,Sofia,23.3242,42.6975,802,Clouds,scattered clouds,03n,stations,10.83,8.8,10.83,10.83,1016,32,10000,3.09,280,28,2024-03-21 17:47:43,1,6366,BG,2024-03-21 04:27:50,2024-03-21 16:39:42,7200,200
24,728193,Plovdiv,24.75,42.15,803,Clouds,broken clouds,04n,stations,12.04,10.27,12.04,13.17,1016,37,10000,6.17,360,75,2024-03-21 17:50:12,1,6363,BG,2024-03-21 04:22:13,2024-03-21 16:33:56,7200,200
25,3173435,Milan,9.1895,45.4643,800,Clear,clear sky,01n,stations,18.44,17.93,16.72,19.99,1017,61,10000,4.63,270,0,2024-03-21 17:56:29,2,2012644,IT,2024-03-21 05:23:57,2024-03-21 17:36:39,3600,200
26,3181927,Bologna,11.4333,44.4667,800,Clear,clear sky,01n,stations,17.75,17.23,15.02,18.67,1018,63,10000,2.06,30,0,2024-03-21 17:54:56,2,2000038,IT,2024-03-21 05:15:07,2024-03-21 17:27:32,3600,200
27,2525471,Provincia di Cagliari,9.0912,39.245,800,Clear,clear sky,01n,stations,15.97,15.61,15.88,17.75,1022,76,10000,3.6,160,0,2024-03-21 17:58:18,1,6720,IT,2024-03-21 05:25:06,2024-03-21 17:36:17,3600,200
28,727011,Sofia,23.3242,42.6975,802,Clouds,scattered clouds,03n,stations,10.83,8.8,10.83,10.83,1016,32,10000,3.09,280,28,2024-03-21 17:57:16,1,6366,BG,2024-03-21 04:27:50,2024-03-21 16:39:42,7200,200
29,728193,Plovdiv,24.75,42.15,803,Clouds,broken clouds,04n,stations,12.04,10.27,12.04,13.17,1016,37,10000,6.17,360,75,2024-03-21 17:58:02,1,6363,BG,2024-03-21 04:22:13,2024-03-21 16:33:56,7200,200
30,3173435,Milan,9.1895,45.4643,800,Clear,clear sky,01n,stations,18.44,17.93,16.72,19.99,1017,61,10000,4.63,270,0,2024-03-21 17:56:29,2,2012644,IT,2024-03-21 05:23:57,2024-03-21 17:36:39,3600,200
31,3181927,Bologna,11.4333,44.4667,800,Clear,clear sky,01n,stations,17.75,17.23,15.02,18.67,1018,63,10000,2.06,30,0,2024-03-21 17:54:56,2,2000038,IT,2024-03-21 05:15:07,2024-03-21 17:27:32,3600,200
32,2525471,Provincia di Cagliari,9.0912,39.245,800,Clear,clear sky,01n,stations,15.97,15.61,15.88,17.75,1022,76,10000,3.6,160,0,2024-03-21 17:58:18,1,6720,IT,2024-03-21 05:25:06,2024-03-21 17:36:17,3600,200
33,727011,Sofia,23.3242,42.6975,802,Clouds,scattered clouds,03n,stations,10.83,8.8,10.83,10.83,1016,32,10000,3.09,280,28,2024-03-21 17:57:16,1,6366,BG,2024-03-21 04:27:50,2024-03-21 16:39:42,7200,200
34,728193,Plovdiv,24.75,42.15,803,Clouds,broken clouds,04n,stations,12.04,10.27,12.04,13.17,1016,37,10000,6.17,360,75,2024-03-21 17:58:02,1,6363,BG,2024-03-21 04:22:13,2024-03-21 16:33:56,7200,200
35,3173435,Milan,9.1895,45.4643,800,Clear,clear sky,01n,stations,18.44,17.93,16.72,19.99,1017,61,10000,4.63,270,0,2024-03-21 17:56:29,2,2012644,IT,2024-03-21 05:23:57,2024-03-21 17:36:39,3600,200
36,3181927,Bologna,11.4333,44.4667,800,Clear,clear sky,01n,stations,17.75,17.23,15.02,18.67,1018,63,10000,2.06,30,0,2024-03-21 17:54:56,2,2000038,IT,2024-03-21 05:15:07,2024-03-21 17:27:32,3600,200
37,2525471,Provincia di Cagliari,9.0912,39.245,800,Clear,clear sky,01n,stations,15.97,15.61,15.88,17.75,1022,76,10000,3.6,160,0,2024-03-21 17:58:18,1,6720,IT,2024-03-21 05:25:06,2024-03-21 17:36:17,3600,200
38,727011,Sofia,23.3242,42.6975,802,Clouds,scattered clouds,03n,stations,10.83,8.8,10.83,10.83,1016,32,10000,3.09,280,28,2024-03-21 17:57:16,1,6366,BG,2024-03-21 04:27:50,2024-03-21 16:39:42,7200,200
39,728193,Plovdiv,24.75,42.15,803,Clouds,broken clouds,04n,stations,12.04,10.27,12.04,13.17,1016,37,10000,6.17,360,75,2024-03-21 17:58:02,1,6363,BG,2024-03-21 04:22:13,2024-03-21 16:33:56,7200,200
40,3173435,Milan,9.1895,45.4643,800,Clear,clear sky,01n,stations,18.44,17.93,16.72,19.99,1017,61,10000,4.63,270,0,2024-03-21 17:56:29,2,2012644,IT,2024-03-21 05:23:57,2024-03-21 17:36:39,3600,200
41,3181927,Bologna,11.4333,44.4667,800,Clear,clear sky,01n,stations,17.75,17.23,15.02,18.67,1018,63,10000,2.06,30,0,2024-03-21 17:54:56,2,2000038,IT,2024-03-21 05:15:07,2024-03-21 17:27:32,3600,200
42,2525471,Provincia di Cagliari,9.0912,39.245,800,Clear,clear sky,01n,stations,15.97,15.61,15.88,17.75,1022,76,10000,3.6,160,0,2024-03-21 17:58:18,1,6720,IT,2024-03-21 05:25:06,2024-03-21 17:36:17,3600,200
43,727011,Sofia,23.3242,42.6975,802,Clouds,scattered clouds,03n,stations,10.83,8.8,10.83,10.83,1016,32,10000,3.09,280,28,2024-03-21 17:57:16,1,6366,BG,2024-03-21 04:27:50,2024-03-21 16:39:42,7200,200
44,728193,Plovdiv,24.75,42.15,803,Clouds,broken clouds,04n,stations,12.04,10.27,12.04,13.17,1016,37,10000,6.17,360,75,2024-03-21 17:58:02,1,6363,BG,2024-03-21 04:22:13,2024-03-21 16:33:56,7200,200
45,3173435,Milan,9.1895,45.4643,800,Clear,clear sky,01n,stations,18.44,17.93,16.49,19.99,1017,61,10000,4.63,270,0,2024-03-21 18:02:25,2,2012644,IT,2024-03-21 05:23:57,2024-03-21 17:36:39,3600,200
46,3181927,Bologna,11.4333,44.4667,800,Clear,clear sky,01n,stations,17.75,17.25,15.02,18.26,1018,64,10000,2.06,30,0,2024-03-21 17:58:06,2,2000038,IT,2024-03-21 05:15:07,2024-03-21 17:27:32,3600,200
47,2525471,Provincia di Cagliari,9.0912,39.245,800,Clear,clear sky,01n,stations,15.46,15.18,14.88,17.19,1021,81,10000,4.12,150,0,2024-03-21 18:06:50,1,6720,IT,2024-03-21 05:25:06,2024-03-21 17:36:17,3600,200
48,727011,Sofia,23.3242,42.6975,802,Clouds,scattered clouds,03n,stations,10.83,8.8,10.83,10.83,1017,32,10000,3.09,290,28,2024-03-21 18:02:40,1,6366,BG,2024-03-21 04:27:50,2024-03-21 16:39:42,7200,200
49,728193,Plovdiv,24.75,42.15,803,Clouds,broken clouds,04n,stations,10.04,8.72,10.04,10.17,1016,62,10000,4.63,110,75,2024-03-21 18:06:01,1,6363,BG,2024-03-21 04:22:13,2024-03-21 16:33:56,7200,200
50,3173435,Milan,9.1895,45.4643,800,Clear,clear sky,01n,stations,18.44,17.93,16.49,19.99,1017,61,10000,4.63,270,0,2024-03-21 18:02:25,2,2012644,IT,2024-03-21 05:23:57,2024-03-21 17:36:39,3600,200
51,3181927,Bologna,11.4333,44.4667,800,Clear,clear sky,01n,stations,17.48,16.98,15.02,18.26,1018,65,10000,2.06,20,0,2024-03-21 18:05:19,2,2004497,IT,2024-03-21 05:15:07,2024-03-21 17:27:32,3600,200
52,2525471,Provincia di Cagliari,9.0912,39.245,800,Clear,clear sky,01n,stations,15.46,15.18,14.88,17.19,1021,81,10000,4.12,150,0,2024-03-21 18:06:50,1,6720,IT,2024-03-21 05:25:06,2024-03-21 17:36:17,3600,200
53,727011,Sofia,23.3242,42.6975,802,Clouds,scattered clouds,03n,stations,10.83,8.8,10.83,10.83,1017,32,10000,3.09,290,28,2024-03-21 18:02:40,1,6366,BG,2024-03-21 04:27:50,2024-03-21 16:39:42,7200,200
54,728193,Plovdiv,24.75,42.15,803,Clouds,broken clouds,04n,stations,10.04,8.72,10.04,10.17,1016,62,10000,4.63,110,75,2024-03-21 18:06:01,1,6363,BG,2024-03-21 04:22:13,2024-03-21 16:33:56,7200,200
55,3173435,Milan,9.1895,45.4643,800,Clear,clear sky,01n,stations,18.44,17.93,16.49,19.99,1017,61,10000,4.63,270,0,2024-03-21 18:02:25,2,2012644,IT,2024-03-21 05:23:57,2024-03-21 17:36:39,3600,200
56,3181927,Bologna,11.4333,44.4667,800,Clear,clear sky,01n,stations,17.48,16.98,15.02,18.26,1018,65,10000,2.06,20,0,2024-03-21 18:05:19,2,2004497,IT,2024-03-21 05:15:07,2024-03-21 17:27:32,3600,200
57,2525471,Provincia di Cagliari,9.0912,39.245,800,Clear,clear sky,01n,stations,15.46,15.18,14.88,17.19,1021,81,10000,4.12,150,0,2024-03-21 18:06:50,1,6720,IT,2024-03-21 05:25:06,2024-03-21 17:36:17,3600,200
58,727011,Sofia,23.3242,42.6975,802,Clouds,scattered clouds,03n,stations,10.83,8.8,10.83,10.83,1017,32,10000,3.09,290,28,2024-03-21 18:02:40,1,6366,BG,2024-03-21 04:27:50,2024-03-21 16:39:42,7200,200
59,728193,Plovdiv,24.75,42.15,803,Clouds,broken clouds,04n,stations,10.04,8.72,10.04,10.17,1016,62,10000,4.63,110,75,2024-03-21 18:06:01,1,6363,BG,2024-03-21 04:22:13,2024-03-21 16:33:56,7200,200
60,3173435,Milan,9.1895,45.4643,800,Clear,clear sky,01n,stations,18.44,17.93,16.49,19.99,1017,61,10000,4.63,270,0,2024-03-21 18:02:25,2,2012644,IT,2024-03-21 05:23:57,2024-03-21 17:36:39,3600,200
61,3181927,Bologna,11.4333,44.4667,800,Clear,clear sky,01n,stations,17.48,16.98,15.02,18.26,1018,65,10000,2.06,20,0,2024-03-21 18:05:19,2,2004497,IT,2024-03-21 05:15:07,2024-03-21 17:27:32,3600,200
62,2525471,Provincia di Cagliari,9.0912,39.245,800,Clear,clear sky,01n,stations,15.46,15.18,14.88,17.19,1021,81,10000,4.12,150,0,2024-03-21 18:06:50,1,6720,IT,2024-03-21 05:25:06,2024-03-21 17:36:17,3600,200
63,727011,Sofia,23.3242,42.6975,802,Clouds,scattered clouds,03n,stations,10.83,8.8,10.83,10.83,1017,32,10000,3.09,290,28,2024-03-21 18:02:40,1,6366,BG,2024-03-21 04:27:50,2024-03-21 16:39:42,7200,200
64,728193,Plovdiv,24.75,42.15,803,Clouds,broken clouds,04n,stations,10.04,8.72,10.04,10.17,1016,62,10000,4.63,110,75,2024-03-21 18:06:01,1,6363,BG,2024-03-21 04:22:13,2024-03-21 16:33:56,7200,200
65,3173435,Milan,9.1895,45.4643,800,Clear,clear sky,01n,stations,17.99,17.49,15.92,19.61,1018,63,10000,4.12,280,0,2024-03-21 18:18:10,2,2012644,IT,2024-03-21 05:23:57,2024-03-21 17:36:39,3600,200
66,3181927,Bologna,11.4333,44.4667,800,Clear,clear sky,01n,stations,17.51,17.04,15.02,18.27,1018,66,10000,2.06,20,0,2024-03-21 18:13:59,2,2004497,IT,2024-03-21 05:15:07,2024-03-21 17:27:32,3600,200
67,2525471,Provincia di Cagliari,9.0912,39.245,800,Clear,clear sky,01n,stations,15.46,15.18,14.88,17.19,1021,81,10000,4.12,150,0,2024-03-21 18:09:04,1,6720,IT,2024-03-21 05:25:06,2024-03-21 17:36:17,3600,200
68,727011,Sofia,23.3242,42.6975,802,Clouds,scattered clouds,03n,stations,10.83,8.8,8.91,10.83,1017,32,10000,3.09,290,28,2024-03-21 18:16:57,1,6366,BG,2024-03-21 04:27:50,2024-03-21 16:39:42,7200,200
69,728193,Plovdiv,24.75,42.15,803,Clouds,broken clouds,04n,stations,10.04,8.72,10.04,10.17,1016,62,10000,4.63,110,75,2024-03-21 18:16:39,1,6363,BG,2024-03-21 04:22:13,2024-03-21 16:33:56,7200,200
70,3173435,Milan,9.1895,45.4643,800,Clear,clear sky,01n,stations,17.99,17.49,15.92,19.61,1018,63,10000,4.12,280,0,2024-03-21 18:18:10,2,2012644,IT,2024-03-21 05:23:57,2024-03-21 17:36:39,3600,200
71,3181927,Bologna,11.4333,44.4667,800,Clear,clear sky,01n,stations,17.51,17.04,15.02,18.27,1018,66,10000,2.06,20,0,2024-03-21 18:13:59,2,2004497,IT,2024-03-21 05:15:07,2024-03-21 17:27:32,3600,200
72,2525471,Provincia di Cagliari,9.0912,39.245,800,Clear,clear sky,01n,stations,15.4,15.11,14.88,17.19,1021,81,10000,4.12,150,0,2024-03-21 18:20:00,1,6720,IT,2024-03-21 05:25:06,2024-03-21 17:36:17,3600,200
73,727011,Sofia,23.3242,42.6975,802,Clouds,scattered clouds,03n,stations,10.83,8.8,8.91,10.83,1017,32,10000,3.09,290,28,2024-03-21 18:16:57,1,6366,BG,2024-03-21 04:27:50,2024-03-21 16:39:42,7200,200
74,728193,Plovdiv,24.75,42.15,803,Clouds,broken clouds,04n,stations,10.04,8.72,10.04,10.17,1016,62,10000,4.63,110,75,2024-03-21 18:16:39,1,6363,BG,2024-03-21 04:22:13,2024-03-21 16:33:56,7200,200
75,3173435,Milan,9.1895,45.4643,800,Clear,clear sky,01n,stations,17.99,17.49,15.92,19.61,1018,63,10000,4.12,280,0,2024-03-21 18:18:10,2,2012644,IT,2024-03-21 05:23:57,2024-03-21 17:36:39,3600,200
76,3181927,Bologna,11.4333,44.4667,800,Clear,clear sky,01n,stations,17.51,17.04,15.02,18.27,1018,66,10000,2.06,20,0,2024-03-21 18:13:59,2,2004497,IT,2024-03-21 05:15:07,2024-03-21 17:27:32,3600,200
77,2525471,Provincia di Cagliari,9.0912,39.245,800,Clear,clear sky,01n,stations,15.4,15.11,14.88,17.19,1021,81,10000,4.12,150,0,2024-03-21 18:20:00,1,6720,IT,2024-03-21 05:25:06,2024-03-21 17:36:17,3600,200
78,727011,Sofia,23.3242,42.6975,802,Clouds,scattered clouds,03n,stations,10.83,8.8,8.91,10.83,1017,32,10000,3.09,290,28,2024-03-21 18:16:57,1,6366,BG,2024-03-21 04:27:50,2024-03-21 16:39:42,7200,200
79,728193,Plovdiv,24.75,42.15,803,Clouds,broken clouds,04n,stations,10.04,8.72,10.04,10.17,1016,62,10000,4.63,110,75,2024-03-21 18:16:39,1,6363,BG,2024-03-21 04:22:13,2024-03-21 16:33:56,7200,200
80,3173435,Milan,9.1895,45.4643,800,Clear,clear sky,01n,stations,17.99,17.49,15.92,19.61,1018,63,10000,4.12,280,0,2024-03-21 18:18:10,2,2012644,IT,2024-03-21 05:23:57,2024-03-21 17:36:39,3600,200
81,3181927,Bologna,11.4333,44.4667,800,Clear,clear sky,01n,stations,17.51,17.04,15.02,18.27,1018,66,10000,2.06,20,0,2024-03-21 18:13:59,2,2004497,IT,2024-03-21 05:15:07,2024-03-21 17:27:32,3600,200
82,2525471,Provincia di Cagliari,9.0912,39.245,800,Clear,clear sky,01n,stations,15.4,15.11,14.88,17.19,1021,81,10000,4.12,150,0,2024-03-21 18:20:00,1,6720,IT,2024-03-21 05:25:06,2024-03-21 17:36:17,3600,200
83,727011,Sofia,23.3242,42.6975,802,Clouds,scattered clouds,03n,stations,10.83,8.8,8.91,10.83,1017,32,10000,3.09,290,28,2024-03-21 18:16:57,1,6366,BG,2024-03-21 04:27:50,2024-03-21 16:39:42,7200,200
84,728193,Plovdiv,24.75,42.15,803,Clouds,broken clouds,04n,stations,10.04,8.72,10.04,10.17,1016,62,10000,4.63,110,75,2024-03-21 18:16:39,1,6363,BG,2024-03-21 04:22:13,2024-03-21 16:33:56,7200,200
85,3173435,Milan,9.1895,45.4643,800,Clear,clear sky,01n,stations,17.45,16.95,15.37,18.86,1018,65,10000,4.12,290,0,2024-03-21 18:48:09,2,2012644,IT,2024-03-21 05:23:57,2024-03-21 17:36:39,3600,200
86,3181927,Bologna,11.4333,44.4667,800,Clear,clear sky,01n,stations,16.39,15.91,14.65,16.85,1018,70,10000,3.09,30,0,2024-03-21 18:40:24,2,2004497,IT,2024-03-21 05:15:07,2024-03-21 17:27:32,3600,200
87,2525471,Provincia di Cagliari,9.0912,39.245,800,Clear,clear sky,01n,stations,15.16,14.82,14.88,16.08,1021,80,10000,3.6,160,0,2024-03-21 18:45:51,1,6720,IT,2024-03-21 05:25:06,2024-03-21 17:36:17,3600,200
88,727011,Sofia,23.3242,42.6975,801,Clouds,few clouds,02n,stations,10.83,8.8,8.36,10.83,1017,32,10000,4.12,280,13,2024-03-21 18:45:10,1,6366,BG,2024-03-21 04:27:50,2024-03-21 16:39:42,7200,200
89,728193,Plovdiv,24.75,42.15,803,Clouds,broken clouds,04n,stations,10.04,8.72,10.04,10.17,1016,62,10000,4.12,100,75,2024-03-21 18:39:06,1,6363,BG,2024-03-21 04:22:13,2024-03-21 16:33:56,7200,200
90,3173435,Milan,9.1895,45.4643,800,Clear,clear sky,01n,stations,17.45,16.97,15.37,18.86,1018,66,10000,4.12,290,0,2024-03-21 18:53:15,2,2012644,IT,2024-03-21 05:23:57,2024-03-21 17:36:39,3600,200
91,3181927,Bologna,11.4333,44.4667,804,Clouds,overcast clouds,04n,stations,16.1,15.72,14.09,16.6,1019,75,8000,3.09,60,100,2024-03-21 19:03:01,2,2004497,IT,2024-03-21 05:15:07,2024-03-21 17:27:32,3600,200
92,2525471,Provincia di Cagliari,9.0912,39.245,800,Clear,clear sky,01n,stations,15.27,14.99,14.88,15.51,1021,82,10000,2.57,170,0,2024-03-21 19:06:02,1,6720,IT,2024-03-21 05:25:06,2024-03-21 17:36:17,3600,200
93,727011,Sofia,23.3242,42.6975,801,Clouds,few clouds,02n,stations,10.83,8.8,8.36,10.83,1017,32,10000,4.12,280,13,2024-03-21 18:57:24,1,6366,BG,2024-03-21 04:27:50,2024-03-21 16:39:42,7200,200
94,728193,Plovdiv,24.75,42.15,801,Clouds,few clouds,02n,stations,8.04,5.53,8.04,9.17,1016,71,10000,4.12,100,20,2024-03-21 19:06:03,1,6363,BG,2024-03-21 04:22:13,2024-03-21 16:33:56,7200,200
